Region Name,x-coor,y-coor,RegBoundsColor,RegPopMarColor,fact1,fact2,fact3,fact4,fact5,reference links
Region I (Ilocos Region),120.71,18.155,3,goldenrod,Known for its beaches like the Blue Lagoon and attractions like bell-shaped Timmangtang Rock and towering Kabigan Falls. ,"Known as the “Surfing Capital of the North""","Has several attractions such as beaches, archeological sites, and churches, and activities such as snorkeling, skin-diving, hiking in the primeval forest, and mountain-climbing.",Its people are engaged other non-farming industries such as loom weaving and furniture making.,"Mainly based in the agricultural sector, with more than 44 percent of its agricultural area devoted to crop production. ",https://cda.gov.ph/region-1/about/ 
Region II (Cagayan Valley),122.028,17.144,3,goldenrod,"A natural catch basin having the largest watersheds in the country, crisscrossed by the longest river network with a total length of approximately 505 kilometers.",Most of the land area is situated on the valley between the Cordilleras and the Sierra Madre mountain ranges,Where the largest land mass in the Northeastern region of Luzon is located.,"Where the following ethnic groups can be found: Ivatan, Ibanag, Itaves, Malueg, Aeta, Gaddang and Isinai, and Ilongot.","Has the title of ""The Citrus Capital of the Philippines"".",https://russel.fandom.com/wiki/Cagayan_Valley 
Region III (Central Luzon),120.801,15.375,3,goldenrod,Rich in timber and mineral resources (both metallic and non-metallic) and accounts for the third largest aquaculture production in the Philippines,This region is where the Aquino family hails from.,"The home of notable heroes such as Francisco Baltazar, Gregorio Del Pilar, and Marcelo Del Pilar.",Important trading center and transportation terminal for products. Land travel is facilitated by a network of well-paved and extensive highways and roads linking all municipalities within the region. ,There are two international airports in the region.,https://cda.gov.ph/region-3/about/ 
 Region IV-A (Calabarzon),121.421,14.074,3,goldenrod,"Has a municipality considered the ""Heartland of Tagalog Culture"" and is currently the center of Tagalog culture and people.","Served as home to some of the most important Philippine historical figures, including the Philippines' national hero, José Rizal.","Where the Pagsanjan Falls is located, which are majestic and world famous.",Known as the industrial powerhouse of the Philippines. ,It is famous for scuba diving; believed to be the birthplace of scuba diving in the Philippines. ,https://russel.fandom.com/wiki/Calabarzon 
Region V (Bicol Region),123.347,13.511,3,goldenrod,"Has the Mayon Volcano, famous for its perfect conical shape and for being the most active volcano in the Philippines.","Coconuts, abaca, banana, coffee and jackfruit are the top five permanent crops in the region.",People here are primarily noted for the prominent use of chili peppers and gata (coconut milk) in their food. ,"The regional center is Legazpi City and the region has one Independent Component City, the Pilgrim City of Naga.","Home to notable people such as Leni Robredo, Aga Muhlach, Catriona Gray, and Nora Aunor.",https://russel.fandom.com/wiki/Bicol_Region 
Region VI (Western Visayas),122.425,11.173,2,blueviolet,"Known for the island of Boracay, which is a popular getaway destination, and the antique houses and churches of Iloilo.","Consists of the major island of Panay and the smaller Guimaras, as well as several outlying islands.","A region dominated by the native speakers of four Visayan languages: Kinaray-a, Hiligaynon, Aklanon and Capiznon.",Has two highly urbanized cities which are Bacolod and Iloilo City.,The most populous region in Visayas.,https://dxs.fandom.com/wiki/Western_Visayas#Economy 
Region VII (Central Visayas),123.891,10.481,2,blueviolet,"Has three highly urbanized cities: Cebu City, Lapu-Lapu, and Mandaue.","A region dominated by the native speakers of four Visayan languages: Cebuano, Bantayanon, Boholano, and Porohanon.",Where the Chocolate Hills are located.,Where the famed battle between Lapu-Lapu and Magellan took place.,"Where the Philippine Tarsier can be found, which is known as the smallest primate.",https://russel.fandom.com/wiki/Central_Visayas 
Region VIII (Eastern Visayas),125.027,12.111,2,blueviolet,"Famous for its San Juanico Bridge, the second longest bridge in the country.",Known for some of notable historical events such as the first Christian mass in Limasawa Island and the longest naval battle in world history.,Where the World War II Battle of the Leyte Gulf or the famous Mac Arthur landing took place.," Inhabited by the Waray-Warays, the country's fourth largest cultural linguistic group.","Region struck with the highest death toll in the nation by Super Typhoon Haiyan, the second deadliest typhoon to ever hit the country.","https://region8.nia.gov.ph/?q=content/about-nia-region-viii#:~:text=Region%208%20is%20famous%20for,which%20connects%20Leyte%20and%20Samar. "
Region IX (Zamboanga Peninsula),123.1,7.977,1,indianred,The largest rubber producer and the capital of bottled sardines in the Philippines.,"Played a central role in the Spanish–Moro conflict, serving as the site of constant battle between two sides.","A vast territory home to various ethnic groups, the largest of which is the Subanen people.",The region where Jose Rizal was exiled.,Known for its geographical formation being a peninsula.,https://russel.fandom.com/wiki/Zamboanga_Peninsula 
Region X (Northern Mindanao),124.945,8.093,1,indianred,Considered the Amihan Region of Mindanao.,"Known as the food basket of Mindanao, being the major producer of rice and corn.",The largest contributor to the economy in Mindanao.,"The first Anicycle can be found here, where one can ride a bicycle across a 600 feet cable hanging above a 100 feet deep ravine.","Where Mt. Hibok-Hibok is located, one of the active volcanoes in Mindanao.",https://www.slideshare.net/slideshow/region-x-northern-mindanao-by-bumanglag-and-ternio/72049147 
Region XI (Davao Region),126.197,7.417,1,indianred,"It has a Hispanicized pronunciation of daba-daba, the Bagobo word for ""fire"".",The region where the former President Rodrigo Roa Duterte is from.,"Home to Mount Apo, the highest peak in the Philippines.",One of the first regions to be subjected by Japanese occupation.,Situated in the southeastern portion of Mindanao and comprised of five provinces.,https://russel.fandom.com/wiki/Davao_Region 
Region XII (Soccsksargen),124.78,6.248,1,indianred,"Known for its river system, the region is the drainage basin of Mindanao, notably at the Cotabato Basin.","The location of where the Maitum Anthropomorphic Pottery were found, which are National Cultural Treasures.",The region where Manny Pacquiao is from.,Where the longest river in Mindanao can be found.,"Home of the T'Boli Tribe, known for their T'nalak cloth that are made of woven fibers.",https://russel.fandom.com/wiki/Soccsksargen#Geography
National Capital Region (NCR),121.04,14.605,3,goldenrod,"Where the Malacañan Palace is located, the official residence and office of the President of the Philippines.",The smallest region in the Philippines but the most densely populated region.,Home of notable heroes such as Andres Bonifacio and Tandang Sora.,"Notable attractions in the region include Rizal Park, The National Museum, The Walled City of Intramuros, and The Ninoy Aquino Wildlife Center.",The largest contributor to the country’s production of goods and services at 31.5% of the GDP. ,https://www.dti.gov.ph/regions/ncr/profile/ 
Cordillera Administrative Region (CAR),121.107,17.343,3,goldenrod,The least densely populated region in the Philippines.,"A primarily mountainous region, positioned in the Cordillera Central mountain range, which includes Mount Pulag, the highest mountain in Luzon.","Home of ethnic groups such as Ifugao, Ibaloy, and Kankanaey.","Where Banaue Rice Terraces can be found, occasionally called "" The Eight Wonder of the World"".",Contains nine major rivers that provide continuous water for irrigation and energy for Northern Luzon.,https://russel.fandom.com/wiki/Cordillera_Administrative_Region
Region XIII (Caraga),125.801,8.883,1,indianred,"Notable for its wood-based economy, extensive water resources, and rich mineral deposits such as iron, gold, and silver.","Renowned for captivating landscapes, featuring lush rainforests, cascading waterfalls, pristine beaches, and majestic mountain ranges.","Where the ""Surfing Capital of the Philippines"" is located.",Early chroniclers called this region the “Land of the Brave and Fierce People.”,Where Spanish colonialization in Mindanao began with the blessing of the first mission church by Jesuit priests.,https://caraga.deped.gov.ph/caraga-region-brief-profile/# 
Region IV-B (Mimaropa),119.466,10.554,3,goldenrod,Formally known as the Southwestern Tagalog Region; one of two administrative regions in the country.,"Home to the Tamaraw, a species of dwarf buffalo that can only be found in one of its provinces.","One of the producers of the country's top export products such as rice, banana, coconut, cashew, and papaya. ",Known for festivals such as the Moriones Festival and the Ati-Atihan Festival.,"Known as ""The Treasure Trove of Southern Luzon""",https://www.classace.io/answers/continue-writing-this-document-top-5-best-trivia-about-mimaropa# 
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),124.286,6.989,1,indianred,Established by the peace talks between the Philippine government and several autonomist groups such as the Moro Islamic Liberation Front.,The traditional homeland of Muslim Filipinos since the 15th century. ,The only region with its own government.,Mostly inhabited by the Moro people in the southern Philippines and is adjacent to the Sulu Archipelago.,"One of the most impoverished regions, has one of the lowest human development indices in the Philippines.",https://russel.fandom.com/wiki/Bangsamoro_Autonomous_Region_in_Muslim_Mindanao 